time,temperature,precipitation,length,area,volume
1901,-2.7641666,1395.8733,,,
1902,-2.8641665,1401.9225,,,
1903,-2.0141668,1589.2112,,,
1904,-2.6558335,1547.746,,,
1905,-3.1725,1296.6561,,,
1906,-3.0808337,1347.5193,,,
1907,-2.680833,1457.0197,,,
1908,-3.6058338,1106.954,,,
1909,-2.8308332,1743.0535,,,
1910,-2.2224996,1303.4811,,,
1911,-2.3558335,1776.4355,,,
1912,-3.1725004,1440.9896,,,
1913,-2.4558334,1776.427,,,
1914,-2.7558334,1543.5854,,,
1915,-2.6975,1639.4452,,,
1916,-2.6641667,1611.8003,,,
1917,-2.8558333,1370.8625,12800.0,13.236070872741509,2.18739786820844
1918,-2.8308332,1511.9441,12800.0,13.19906835030098,2.1615352536257664
1919,-2.1725,1841.1135,12900.0,13.185681751175203,2.152992037031768
1920,-1.7058331,1041.0529,12900.0,13.178834532047807,2.146301799304831
1921,-2.6891663,1456.9905,12900.0,13.170436829525526,2.1456545201543618
1922,-2.7308333,1355.4644,12800.0,13.113765246544983,2.1060680463638604
1923,-2.8225005,1655.0269,12800.0,13.082572235897247,2.091544107763856
1924,-2.3975003,1149.341,12800.0,13.063282260048936,2.0781142271650217
1925,-2.3808334,1496.1599,12800.0,13.036572787281141,2.0694307292230025
1926,-1.9391664,1739.9551,12800.0,13.007702933424808,2.0520406202440027
1927,-1.8391665,1342.6393,12700.0,12.991767355094733,2.045049528533387
1928,-2.9975002,1232.9525,12800.0,12.957117024217371,2.0299768196694896
1929,-1.7724997,1430.1477,12800.0,12.907000327497624,1.9964972929061315
1930,-2.8975003,1520.3717,12700.0,12.837695871833056,1.9548380001517338
1931,-2.6474998,1144.1733,12700.0,12.78583247857445,1.9297591968825987
1932,-2.5975,1328.3104,12700.0,12.74227504872422,1.9141333302257129
1933,-2.230833,1489.5669,12600.0,12.676531650920406,1.876252289687054
1934,-2.430833,1526.5903,12600.0,12.640621912879007,1.8594786673483705
1935,-1.9808332,1683.2457,12600.0,12.57311356620748,1.830867987135546
1936,-2.3058329,1626.8073,12600.0,12.520511650235768,1.8100083020756468
1937,-2.6225,1201.0248,12600.0,12.486102477946218,1.8048002173454756
1938,-2.3474998,1340.0918,12500.0,12.436484228078756,1.7855305168722877
1939,-3.2558334,1502.8202,12500.0,12.365402866207697,1.753875730046453
1940,-3.2641668,1390.8672,12500.0,12.30854337545275,1.7347884351410454
1941,-2.9641664,1171.5593,12500.0,12.280895739737568,1.7336163254394557
1942,-1.355833,1252.5455,12500.0,12.236375113473208,1.7203126067937937
1943,-2.4475002,1153.9429,12400.0,12.153842432217147,1.683023218446456
1944,-2.1141665,1552.8215,12300.0,12.052073125271594,1.6428238724195015
1945,-1.6891664,1356.14,12300.0,11.974514627688476,1.612547955055353
1946,-1.9391665,1180.4471,12200.0,11.893059170328385,1.5845590080630299
1947,-1.7141665,1647.847,12100.0,11.810540676355835,1.553598306191862
1948,-1.6891667,974.50354,12000.0,11.684869033455099,1.4989745993827788
1949,-1.3475003,1411.4552,12000.0,11.634432320159279,1.4934543856927394
