"TOA5","oetztal_station","CR300","17078","CR300-CELL200.Std.09.02","CPU:alps.CR300","19939","Measurements"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RHAvg","DT_Avg","Q_Avg","TCDT_Avg","SlrW_Avg","SlrkJ_Tot","Rain_mm_Tot","TdC_Avg","VPWkPa_Avg","SVPWkPa_Avg"
"TS","RN","m/s","Deg","Deg","Deg C","%","m","","m","W/m^2","kJ/m^2","mm","Deg C","kPa","kPa"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Avg","Avg","Tot","Tot","Avg","Avg","Avg"
"2019-08-30 11:30:00",0,2.385,16.82931,14.8961,17.78733,57.24392,2.182833,186.6667,2.252785,918.5947,330.6941,0,9.233879,1.165131,2.03538
"2019-08-30 11:40:00",1,1.772,14.83983,27.13661,18.1051,58.26738,2.1822,189.9,2.253361,898.9547,539.3729,0,9.78799,1.209917,2.076492
"2019-08-30 11:50:00",2,0.739,45.60584,54.59921,18.6584,58.43851,2.1828,196.5,2.256119,926.2814,555.7689,0,10.35279,1.256552,2.150213
"2019-08-30 12:00:00",3,2.064,187.1302,13.87435,18.518,50.27309,2.1822,195.8,2.254956,795.3252,477.1952,0,7.995158,1.071588,2.131535
"2019-08-30 12:10:00",4,1.846,173.492,16.63589,18.1098,51.89605,2.1804,198.3,2.25152,949.2983,569.579,0,8.083649,1.077944,2.077122
"2019-08-30 12:20:00",5,3.371,15.12158,41.26736,18.3966,55.92184,2.1302,204.6,2.200782,768.934,461.3604,0,9.449705,1.182717,2.114946
"2019-08-30 12:30:00",6,2.992,8.176209,22.2848,17.5546,57.8492,2.1503,192.7,2.218293,310.1528,186.0917,0,9.170222,1.160318,2.005763
"2019-08-30 12:40:00",7,2.281,1.322703,27.10661,17.1366,59.0952,2.1986,181.9,2.266518,277.8323,166.6994,0,9.09841,1.154365,1.953398
"2019-08-30 12:50:00",8,1.639,4.642538,29.59429,17.3836,58.45941,2.1958,179.7,2.264593,661.6695,397.0017,0,9.165495,1.159993,1.984271
"2019-08-30 13:00:00",9,1.918,11.81453,40.5694,18.278,55.81225,2.1958,180.4,2.268078,592.6422,355.5853,0,9.315765,1.171698,2.099356
"2019-08-30 13:10:00",10,1.497,44.47031,70.21992,18.1593,56.61334,2.1962,180,2.268028,802.7067,481.6241,0,9.418427,1.179596,2.0836
"2019-08-30 13:20:00",11,1.704,14.32132,47.60308,18.7899,57.08437,2.1939,181,2.268104,806.4738,483.8843,0,10.12801,1.237374,2.167623
"2019-08-30 13:30:00",12,1.975,343.6512,41.84433,19.0351,55.35912,2.1927,179.3,2.267815,863.6206,518.1724,0,9.896989,1.218497,2.201077
"2019-08-30 13:40:00",13,1.442,28.94924,71.45614,19.1718,55.87711,2.1902,180.9,2.265759,833.5072,500.1044,0,10.1687,1.240437,2.219937
"2019-08-30 13:50:00",14,1.674,351.1765,60.62985,19.6056,54.37152,2.1906,181.9,2.267854,823.7401,494.2441,0,10.15725,1.240036,2.280671
"2019-08-30 14:00:00",15,2.309,30.94525,27.55571,19.3878,54.30082,2.1938,181.4,2.270321,617.8184,370.691,0,9.945482,1.222018,2.250459
"2019-08-30 14:10:00",16,1.703,51.17904,63.14236,18.8787,55.19302,2.1935,181.8,2.268035,533.5541,320.1325,0,9.711154,1.20302,2.179659
"2019-08-30 14:20:00",17,1.789,0.8574522,32.76056,18.4576,56.17547,2.1947,178,2.267639,137.0883,82.25298,0,9.583231,1.192718,2.123201
"2019-08-30 14:30:00",18,2.126,88.72523,46.09929,17.5667,58.60047,2.1984,180.7,2.267989,143.2988,85.97928,0,9.378652,1.176402,2.007495
"2019-08-30 14:40:00",19,1.167,110.5699,34.79109,17.189,59.60633,2.1991,181.8,2.267238,203.866,122.3196,0,9.274644,1.168207,1.959871
"2019-08-30 14:50:00",20,0.692,286.447,27.01417,17.321,60.39494,2.1975,180.7,2.266103,148.5048,89.10287,0,9.582058,1.193595,1.976316
"2019-08-30 15:00:00",21,0.9370001,258.8773,8.441133,15.9877,77.70242,2.2025,179.1,2.266038,111.8896,67.13378,0,12.12013,1.411853,1.817
"2019-08-30 15:10:00",22,0.7730001,214.5375,37.11401,15.122,81.20171,2.2039,177.6,2.264084,91.12695,54.67617,0,11.93433,1.394765,1.717655
"2019-08-30 15:20:00",23,0.58,242.0503,12.68157,14.8981,80.4954,2.2061,175.5,2.265464,115.705,69.42297,0,11.58014,1.362826,1.693048
"2019-08-30 15:30:00",24,0.8349999,183.1498,15.55235,15.1648,81.76534,2.204,178.6,2.264355,124.8652,74.91911,0,12.08226,1.408364,1.722446
"2019-08-30 15:40:00",25,0.748,232.5393,30.1195,15.3559,82.11069,2.2027,178.1,2.263769,112.0739,67.24432,0,12.33244,1.431724,1.743651
"2019-08-30 15:50:00",26,0.7789999,186.7246,31.05207,15.2823,81.40195,2.2045,175.7,2.26533,95.70662,57.42398,0,12.12969,1.4127,1.735462
"2019-08-30 16:00:00",27,0.8750001,191.1846,8.735539,15.1501,81.03164,2.2053,178.8,2.265632,94.07711,56.44627,0,11.92968,1.394343,1.720738
"2019-08-30 16:10:00",28,0.5830001,166.6777,49.51887,15.1829,80.87119,2.2043,179.4,2.264734,107.1138,64.2683,0,11.93137,1.39453,1.724384
"2019-08-30 16:20:00",29,1.552,320.0323,89.36114,15.9846,70.24624,2.201,180.4,2.264484,114.7017,68.82105,0,10.58002,1.275537,1.815808
